N/M,1,2,4,8,16,32,64,128
1000000,0.0903406,0.0405302,0.0260209,0.0250027,0.0302641,0.0346914,0.051868,0.122723
10000000,0.811851,0.39613,0.232595,0.167509,0.117902,0.123954,0.139957,0.175639
100000000,8.14628,4.35406,2.40704,1.59048,1.07309,0.97722,1.04549,1.31647
1000000000
